City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Puracic,BA,44.55,18.48,69.8,73,0,1.12,clear sky
317,Huntsville,US,34.73,-86.59,75.99,88,90,3.65,moderate rain
318,Owando,CG,-0.48,15.9,74.57,90,100,2.93,overcast clouds
319,Padang,ID,-0.95,100.35,78.04,80,86,4.56,light rain
320,Ahuimanu,US,21.44,-157.84,82.4,69,20,12.75,few clouds
321,Denpasar,ID,-8.65,115.22,77.0,100,20,8.05,few clouds
322,Kijang,KR,35.24,129.21,77.0,78,20,8.05,few clouds
323,Ilulissat,GL,69.22,-51.1,46.4,52,20,3.36,few clouds
324,Hofn,IS,64.25,-15.21,54.23,51,1,15.17,clear sky
325,Kudat,MY,6.88,116.85,82.4,88,20,4.7,few clouds
326,Teguldet,RU,57.31,88.17,55.74,96,100,5.28,light rain
327,Tessalit,ML,20.2,1.01,102.58,8,16,14.72,few clouds
328,Warrington,GB,53.39,-2.58,64.4,72,40,20.8,shower rain
329,Geraldton,AU,-28.77,114.6,57.2,76,90,3.36,overcast clouds
330,Trelew,AR,-43.25,-65.31,70.25,21,0,17.47,clear sky
331,Anuradhapura,LK,8.36,80.42,76.84,87,34,7.43,scattered clouds
332,Amahai,ID,-3.33,128.92,76.59,87,80,3.31,light rain
333,Sinop,TR,41.77,34.87,62.53,86,91,15.03,light rain
334,Lompoc,US,34.64,-120.46,69.8,64,75,6.93,broken clouds
335,Pisco,PE,-13.7,-76.22,62.01,87,90,8.05,mist
336,Tahta,EG,26.77,31.5,93.2,26,0,10.29,clear sky
337,Barra Patuca,HN,15.8,-84.28,81.36,81,100,4.83,overcast clouds
338,Saint Anthony,US,45.02,-93.22,86.0,54,40,12.75,scattered clouds
339,Oranjemund,NA,-28.55,16.43,62.08,43,0,15.39,clear sky
340,Alofi,NU,-19.06,-169.92,71.6,100,0,2.24,clear sky
341,Tual,ID,-5.67,132.75,79.41,84,64,12.86,light rain
342,Omboue,GA,-1.57,9.26,74.7,78,94,9.95,overcast clouds
343,Nong Chik,TH,6.84,101.18,77.58,86,92,4.5,light rain
344,Hambantota,LK,6.12,81.12,80.6,94,67,8.05,broken clouds
345,Kidal,ML,18.44,1.41,101.91,8,3,16.17,clear sky
346,Olinda,BR,-8.01,-34.86,80.6,69,75,12.75,broken clouds
347,Taseyevo,RU,57.22,94.9,57.85,83,100,6.22,overcast clouds
348,Tvoroyri,FO,61.56,-6.81,57.2,82,99,12.75,overcast clouds
349,Jertih,MY,5.73,102.49,75.2,94,40,1.12,light rain
350,Surt,LY,31.21,16.59,80.46,68,0,12.62,clear sky
351,Iraquara,BR,-12.25,-41.62,83.37,39,6,9.57,clear sky
352,Ambon,ID,-3.7,128.18,78.12,85,73,7.31,broken clouds
353,Chizhou,CN,30.66,117.48,75.65,95,73,3.74,broken clouds
354,Krasnoborsk,RU,61.56,45.93,52.36,86,0,3.29,clear sky
355,Dicabisagan,PH,17.08,122.42,79.54,80,94,5.73,overcast clouds
356,Kamaishi,JP,39.27,141.88,70.9,88,99,4.23,overcast clouds
357,Hay River,CA,60.82,-115.8,59.0,67,75,10.29,broken clouds
358,Sao Gabriel,BR,-30.34,-54.32,54.25,46,0,5.82,clear sky
359,Bentiu,SS,9.23,29.83,76.1,82,2,1.57,clear sky
360,Camopi,GF,3.17,-52.32,91.99,44,88,3.11,overcast clouds
361,Baturaja,ID,-4.13,104.17,72.66,90,100,2.86,overcast clouds
362,Deputatskiy,RU,69.3,139.9,32.05,99,99,4.88,overcast clouds
363,Fairbanks,US,64.84,-147.72,51.8,100,75,3.36,mist
