City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Don Sak,TH,81.43,light rain,9.32,99.69,Sea Sun Moon Hostel
638,Kenora,CA,80.6,broken clouds,49.82,-94.43,Maynard Lake Lodge
640,Kui Buri,TH,78.13,overcast clouds,12.08,99.85,ริสต้า รีสอร์ท
641,Berasia,IN,75.2,thunderstorm with rain,23.63,77.43,golu narwaria
644,Tifton,US,87.01,clear sky,31.45,-83.51,Hilton Garden Inn Tifton
645,Diu,IN,81.27,overcast clouds,20.71,70.98,Hotel Relax Inn
650,Abadiania,BR,78.8,few clouds,-16.2,-48.71,Pousada Lírio D'Água
652,Palmer,US,88.0,broken clouds,42.16,-72.33,Wedgewood Motel
653,Ponnani,IN,78.8,mist,10.77,75.93,Rouba Residency
660,Kogon,UZ,73.4,clear sky,39.72,64.55,"Hostel ""New Bukhara"""
663,Shelburne,CA,81.0,broken clouds,44.08,-80.2,The Retreat at the Farm
664,Cochrane,CA,71.01,clear sky,51.18,-114.47,Days Inn & Suites by Wyndham Cochrane
666,Barkhan,PK,82.42,light rain,29.9,69.53,Sardar
669,Half Moon Bay,US,80.01,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
673,Taitung,TW,79.61,overcast clouds,22.76,121.14,Taitung Bali Suites Hotel
677,Dakar,SN,82.4,scattered clouds,14.69,-17.44,Novotel Dakar
678,Sao Caetano De Odivelas,BR,82.26,moderate rain,-0.75,-48.02,Hotel do Luttis
680,Zlitan,LY,80.92,clear sky,32.47,14.57,القسم الداخلي للجامعة الأسمرية
683,Porto Novo,BJ,77.0,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
